usage_date,account_id,service,region,usage_type,usage_amount,unblended_cost,tag_team,tag_env,tag_project
2025-01-01,111111111111,AmazonEC2,eu-west-1,BoxUsage:t3.medium,119.37,5.4426,payments,prod,checkout
2025-01-01,111111111111,AmazonEC2,eu-west-1,BoxUsage:t3.large,107.43,9.2353,platform,prod,checkout
2025-01-01,111111111111,AmazonEC2,eu-west-1,BoxUsage:m5.xlarge,146.16,30.1367,payments,prod,analytics
2025-01-01,111111111111,AmazonRDS,eu-west-1,InstanceUsage:db.m5.large,416.41,82.4741,platform,prod,customer-portal
2025-01-01,222222222222,AmazonEC2,eu-west-3,BoxUsage:t3.medium,353.89,6.5468,platform,staging,internal-tools
2025-01-01,222222222222,AmazonEC2,eu-west-1,BoxUsage:m5.xlarge,345.46,41.8759,platform,staging,internal-tools
2025-01-01,222222222222,AmazonEC2,us-east-1,BoxUsage:c5.2xlarge,439.42,73.4642,,staging,customer-portal
2025-01-01,222222222222,AmazonS3,eu-west-1,TimedStorage-ByteHrs,296.45,0.0038,,staging,internal-tools
2025-01-01,222222222222,AmazonS3,eu-west-1,Requests-Tier1,317.45,0.0009,payments,staging,internal-tools
2025-01-01,222222222222,AWSLambda,eu-west-1,Lambda-Request,140.74,0.0,frontend,staging,
2025-01-01,222222222222,AmazonVPC,eu-west-3,PublicIPv4:InUseAddress,258.75,0.5403,platform,staging,
2025-01-01,222222222222,AmazonVPC,eu-west-1,NatGateway-Hours,64.82,1.646,data,staging,
2025-01-01,222222222222,AmazonVPC,eu-west-1,DataTransfer-Regional-Bytes,43.91,0.2682,platform,,customer-portal
2025-01-01,333333333333,AmazonEC2,eu-west-1,BoxUsage:t3.medium,367.67,3.3976,data,dev,checkout
2025-01-01,333333333333,AmazonEC2,eu-west-1,BoxUsage:t3.large,281.42,5.9721,payments,,analytics
2025-01-01,333333333333,AmazonEC2,eu-west-3,BoxUsage:m5.xlarge,114.98,5.8701,frontend,dev,internal-tools
2025-01-01,333333333333,AmazonEC2,eu-west-1,BoxUsage:c5.2xlarge,217.55,23.6913,payments,,checkout
2025-01-01,333333333333,AmazonS3,eu-west-1,TimedStorage-ByteHrs,146.49,0.001,,,checkout
2025-01-01,333333333333,AmazonCloudWatch,eu-west-1,DataProcessing-Bytes,206.51,20.8035,frontend,,internal-tools
2025-01-01,333333333333,AmazonCloudWatch,eu-west-3,LogStorage,393.85,3.9062,platform,,
2025-01-01,333333333333,AmazonVPC,eu-west-1,PublicIPv4:InUseAddress,243.63,0.4734,,dev,customer-portal
2025-01-01,333333333333,AmazonVPC,us-east-1,NatGateway-Hours,207.85,3.7333,,dev,
2025-01-01,333333333333,AmazonVPC,eu-west-1,DataTransfer-Regional-Bytes,338.17,0.8055,,dev,
2025-01-01,444444444444,AmazonEC2,eu-west-1,BoxUsage:t3.medium,58.99,0.2552,,,
2025-01-01,444444444444,AmazonEC2,eu-west-3,BoxUsage:t3.large,354.73,3.9204,,,
2025-01-01,444444444444,AmazonEC2,eu-west-1,BoxUsage:m5.xlarge,62.45,1.1478,,sandbox,
2025-01-01,444444444444,AmazonEC2,us-east-1,BoxUsage:c5.2xlarge,34.89,1.5229,payments,,
2025-01-01,444444444444,AmazonRDS,eu-west-1,InstanceUsage:db.t3.medium,473.07,3.2936,,,
2025-01-01,444444444444,AmazonRDS,eu-west-1,InstanceUsage:db.m5.large,467.21,9.5972,,sandbox,
2025-01-01,444444444444,AmazonRDS,us-east-1,RDS:StorageUsage,487.18,0.1638,,,
2025-01-01,444444444444,AWSLambda,us-east-1,Lambda-Request,403.1,0.0,data,,
2025-01-02,111111111111,AmazonEC2,eu-west-1,BoxUsage:t3.large,104.63,9.803,data,prod,growth
2025-01-02,111111111111,AmazonEC2,us-east-1,BoxUsage:m5.xlarge,138.0,31.8746,payments,prod,analytics
2025-01-02,111111111111,AmazonS3,eu-west-1,Requests-Tier1,223.67,0.0013,platform,prod,analytics
2025-01-02,111111111111,AmazonS3,eu-west-1,DataTransfer-Out-Bytes,451.02,43.8527,data,prod,customer-portal
2025-01-02,111111111111,AmazonRDS,eu-west-3,InstanceUsage:db.t3.medium,95.27,6.2783,payments,prod,growth
2025-01-02,111111111111,AmazonRDS,eu-west-1,InstanceUsage:db.m5.large,341.06,65.246,platform,prod,growth
2025-01-02,111111111111,AmazonVPC,eu-west-1,PublicIPv4:InUseAddress,242.82,1.0418,frontend,prod,internal-tools
2025-01-02,111111111111,AmazonVPC,eu-west-3,NatGateway-Hours,12.72,0.65,payments,prod,growth
2025-01-02,111111111111,AmazonVPC,us-east-1,DataTransfer-Regional-Bytes,69.47,0.6597,,prod,growth
